Sim_num	Dist	Asc_NAF	Asc_NEU	Asc_NCHB	daf	Log10_NAF	Log10_NEU	Log10_NCHB	NEU_AS	TEU_AS	TAF	LinearCombination_0	LinearCombination_1	LinearCombination_2	LinearCombination_3	LinearCombination_4	LinearCombination_5	LinearCombination_6	LinearCombination_7
358403	0.529573	15	19	15	0.0899263	4.60464	4.81152	3.77793	3592	1376	2774	-8.14983	-6.96744	-1.12805	0.472433	-2.45658	-0.413302	0.857399	2.08066
365165	0.832522	4	19	15	0.0858714	4.49344	4.76093	3.63779	3848	1095	2861	-1.92403	-8.00713	-1.16254	0.386504	-3.35071	0.293999	-0.261795	2.42803
370911	0.274597	3	12	9	0.0970768	4.42843	4.59161	3.66614	4426	1366	3011	-4.65646	-7.29792	-1.03373	0.411605	-3.80421	-0.435054	0.866489	2.04764
377296	1.24544	7	9	17	0.0948566	4.49524	4.01887	3.85009	2873	1443	2234	-8.49227	-6.61329	0.313804	-1.7884	-2.21042	-0.580197	1.02996	1.88019
380824	1.12938	6	3	19	0.0834687	4.45321	4.70737	3.71517	4614	1370	3386	-0.118424	-7.46887	-0.823761	-0.950134	-2.72841	-1.23421	-0.237616	1.88198
382132	0.924828	14	7	18	0.0826808	4.6519	4.44064	3.73918	4908	1551	3440	-4.48657	-5.51033	-0.451781	0.542454	-2.91526	-1.49904	1.51954	2.2858
383067	1.18832	4	5	19	0.0846534	4.6458	4.17105	3.48173	4518	976	3315	-5.46579	-4.77995	-2.04552	-0.594955	-3.09198	-0.999813	-1.45892	1.8213
383631	0.275568	3	8	14	0.098345	4.49008	4.94312	3.50759	4846	1103	2944	-4.53812	-7.29307	-1.12731	0.226296	-4.02338	-0.142217	0.406524	2.30283
384683	1.21461	3	10	12	0.0837266	4.96631	4.94398	3.91793	3996	1465	3109	-10.1975	-8.69373	-1.56374	0.0282267	-2.33143	-1.26797	0.940956	2.74999
390594	1.38494	4	6	6	0.0971025	4.91359	4.13909	3.83632	3714	1372	3070	-6.2469	-4.98758	-0.399907	-0.460821	-1.84774	-0.776198	-0.228179	3.03266
394671	1.2242	11	15	12	0.0793325	4.72608	4.37515	4.00915	2381	1563	2543	-9.26515	-6.90237	-0.989821	-0.218981	-1.57209	-0.340021	1.14421	2.10667
395938	1.18275	9	18	12	0.0990124	4.60113	4.31376	3.4484	3877	1177	2456	-8.64081	-4.4743	-1.15215	1.97064	-5.09009	0.171007	0.340486	1.67237
396727	1.09788	4	7	3	0.0984636	4.96828	4.14186	3.58614	3800	1462	2412	-10.7672	-4.42003	0.219484	1.67271	-4.40373	-0.322663	0.430918	2.01379
399929	1.22741	9	14	3	0.0996702	4.61784	4.83836	3.72272	4841	957	3218	-6.52732	-5.63102	-1.07997	1.24043	-1.41887	-0.338873	0.0358023	2.65473
401532	0.951494	2	19	12	0.094333	4.94944	4.26647	3.69749	3259	1109	2051	-8.42541	-8.79043	-0.630713	-0.733449	-2.55911	0.378894	0.266403	2.57019
401685	1.15361	5	19	14	0.0948328	4.67528	4.70296	3.78039	3971	1364	2814	-11.1442	-7.14536	-1.77758	0.674089	-2.796	-1.92246	0.369059	1.29228
403068	0.922793	12	13	20	0.0790958	4.94244	4.90707	3.71584	4844	1022	3371	-6.72551	-5.79818	-1.77801	1.117	-1.78093	-0.881291	-0.286999	1.57411
403559	0.962816	7	13	5	0.0874817	4.9518	4.09667	3.54456	3899	1413	2560	-9.39583	-3.77533	-0.130421	1.61076	-4.31458	-0.981393	-0.389009	2.28439
404285	0.935537	3	11	14	0.0883074	4.95115	4.2721	3.87581	3643	1556	2983	-7.71912	-7.0421	-0.342356	-0.736588	-2.37587	-1.56844	-0.555178	2.80616
408312	1.36434	5	10	16	0.095546	4.8405	4.26548	3.38112	2675	1097	2014	-9.52358	-3.59702	-0.745043	1.12621	-4.78859	0.29071	-0.279581	1.46739
409643	1.23152	14	20	15	0.0922837	4.55848	4.77451	3.5437	4221	1154	2897	-9.96254	-5.25478	-1.71308	1.41247	-3.69593	-0.618482	1.19028	1.30497
410187	1.17955	14	6	18	0.0806131	4.83451	4.78546	3.67219	1879	1010	1704	-9.70055	-5.79384	-0.775501	1.28945	-1.9585	0.212189	-0.547985	2.20324
410473	1.23881	10	19	17	0.0758145	4.61848	4.40547	3.61752	3762	1479	3360	-5.58331	-3.97116	-1.81085	1.04157	-3.66226	-1.91194	0.715969	1.16491
410904	1.15638	9	3	18	0.0935609	4.57073	4.66635	3.34143	4242	986	2992	-5.69798	-3.06431	-1.27974	1.71274	-4.18363	0.116752	0.237734	1.71354
